x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,y
207795.025119367,212016.05256790045,215606.73847100808,219932.16015626516,225035.68157602593,228920.7248029612,231860.08895448394,233950.40612576422,234679.97023668018,231012.44553090082,224798.89094240055,218271.74370744728,213255.97921834214,209651.22910763512,208356.87847279513,207925.27912438707,223258.3713783356,211260.9854142278,212778.9182983477,224797.7617716117,1
208026.93889987722,212302.92660804116,215921.5923947997,220272.29379492396,225326.0054313877,229152.09867250928,232135.55267042806,234358.39095762922,235161.9235826341,231449.3419265773,225112.40811710563,218499.3813248184,213437.59753430722,209791.12658969965,208491.4692072033,208104.17495706092,222920.51949187907,211082.75034146474,212906.55020670357,224788.00745989248,1
207630.65572264596,211858.77169465076,215421.86756603597,219691.51920525395,224628.00840143874,228327.19087825913,231132.89816720693,233222.92902420828,233960.67598923054,230290.5954837939,224085.7747618108,217624.88844112935,212652.27426443543,209097.9094578671,207910.87206513126,207622.01553120007,222215.67287654942,210431.99187563208,212291.3126845436,224100.07351614782,1
207297.8807238215,211477.02653745172,214990.80426997354,219211.1080692776,224119.81250940016,227848.1139337263,230709.1487206616,232820.4101495146,233554.74852891688,229909.2680347936,223757.6012535669,217293.16339018292,212292.85786237282,208744.52779454345,207571.85891310038,207285.63591366546,221861.5772745913,209866.70589089318,211890.404734163,223921.80356600735,1
207304.73527574845,211459.5687215015,214955.43919950322,219195.77023581383,224188.1986978065,227998.96237477314,230882.40691433626,232986.2145863437,233716.5426401846,230040.50499830343,223873.96661277136,217390.6398812946,212351.2733183048,208771.14672532392,207587.9143347592,207295.70823067433,222148.93944786242,210045.04383177467,211975.09959630703,224105.39082831706,1
207852.0712125709,212022.06437011028,215526.1112641167,219779.01879092696,224783.5826417095,228606.31018256326,231501.26223237597,233618.53664047417,234353.52934540887,230669.37341596372,224510.02932739607,218026.4636426159,212964.51997491063,209351.48749333975,208145.90705501245,207846.05896082197,222604.75376004505,210564.43306716942,212533.85613519527,224595.24593170953,1
208155.78411244042,212371.87998281824,215920.48454215273,220195.24338859142,225199.93598741904,228982.68336791717,231833.34973238345,233909.44356278534,234634.7293765234,230957.4675333792,224789.80240206778,218314.48025518793,213293.87541390688,209706.3420418408,208497.30748988726,208179.55483087758,222809.85393076943,210889.68967463376,212913.10379451996,224867.036462447,1
207850.33607480233,212085.40066552928,215655.10878480508,219992.0561126021,225076.60882103056,228901.3180989592,231746.95149926984,233816.03741375302,234524.533958842,230854.75918268017,224728.2480793302,218270.56895149968,213201.84146040332,209531.30550697097,208257.6866570207,207896.7607689357,223020.46575699563,210716.9566222744,212672.74632000976,225023.18139514624,1
208333.58739955796,212585.94866588965,216159.2196427904,220478.62649448647,225537.60349795484,229361.28987491067,232223.36138769606,234300.54477153206,235011.82971176604,231313.8628858571,225123.70912689762,218599.60655683253,213510.06927059047,209869.94887985944,208649.12445770932,208338.5950297778,223264.25288534324,211141.97553812273,213157.9915226851,225321.20911869314,1
208463.01521180698,212744.16235748102,216341.03086921643,220688.4110736862,225784.63661915294,229633.56247801593,232489.10352480225,234542.9707682811,235231.87289349857,231515.1870288883,225299.75446963668,218733.1364335261,213613.14640466846,209962.24619210226,208752.58257860097,208454.66846367344,223474.40161203025,211353.7923526696,213326.26443822277,225488.29786626357,1
