x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,y
211614.76012150614,216165.87967415235,220176.256442155,225164.63315998434,231229.00538161417,236065.17723562702,239948.2298742548,242696.17047885104,243796.89842403703,239730.75122207633,232698.58495670982,225191.5523272956,219248.0095427385,214694.57350031007,212796.85727619936,212032.80930354394,230318.5354667363,217070.77924017073,217780.99266407482,231016.17412149976,1
212766.52422248074,217219.1085402595,221154.48591762286,226099.19083510022,232216.39797202442,237078.53823456835,240893.7825146715,243570.9968624522,244682.89150990685,240774.24935441627,234158.71504466777,226939.90188493984,221033.81561808533,216346.3688144596,214233.05185492936,213294.95323530879,231823.81701843723,218907.74098546116,219271.2471051905,232174.84143989964,1
214265.72897435035,218553.64886376093,222316.1194212793,227210.18686724824,233440.29752445294,238440.1365894746,242230.73212634996,244796.59620493522,245818.09639505713,241781.29549785863,235073.6900672601,227833.88134432593,221992.5623309109,217487.88816124076,215541.83337691767,214721.07360315818,234787.60465616232,220691.32562881502,220688.37573880274,234728.67010382185,1
214476.6936921947,218930.6435989522,222843.79660322884,227813.05836299734,233951.92787910622,238656.45880022866,242113.63798223576,244479.82079238704,245443.49432107992,241467.45031641005,234832.03798776132,227787.172164021,222201.48494007575,217848.70921386455,215891.48121774924,215005.09878952557,234153.97066722397,220705.44244187218,221148.60860646958,234574.2067099046,1
213666.31331043172,217930.36472609374,221676.3688186312,226552.78853884296,232746.8254435843,237696.69673322723,241483.15272908504,244050.71811254683,245078.32678440344,241117.71183505756,234462.9782795806,227290.67918850988,221527.4908469951,217039.0641345961,215047.38797386124,214169.82545356685,234118.46284777485,220075.24259490907,220093.50054405277,234088.4032895296,1
213336.7080516848,217609.39674257074,221365.6072226513,226247.88217746073,232442.85223461955,237375.75917789398,241094.52242958796,243599.38784386337,244594.91085589488,240610.84815991763,233947.65201210175,226780.34339691777,221048.87310482014,216610.56209149264,214666.70422910282,213819.67688223821,233720.13652247502,219686.89689185793,219770.65701474884,233745.85548727823,1
213051.4328392614,217365.35188598436,221164.25155862985,226070.5385662565,232233.1292150146,237092.32491412992,240713.98715220485,243152.2932208274,244128.13296126502,240185.38441312744,233586.9330589695,226493.06425410742,220817.7375031788,216391.5088378854,214421.35430890022,213552.16855149984,233450.9152228303,219403.21150152717,219516.29074073507,233504.8417254892,1
212951.9797374222,217245.20582950112,221011.19135784585,225854.593110963,231922.79693441442,236693.93117391024,240283.0234435669,242744.21775930934,243734.82562041457,239813.72285951962,233256.1262512751,226214.36304349094,220590.1755961435,216211.67597109193,214281.29081606076,213437.21303290763,232700.71149789297,218982.6286065646,219274.5336329196,232966.17386344564,1
211269.70957015702,215697.54287865985,219577.23448004707,224449.2926058044,230390.9877945998,235065.31016476374,238716.65614498738,241331.17126396543,242400.90681539426,238542.67393510044,232006.28689564698,224935.65108124257,219185.39039152482,214630.8360399232,212619.01257656922,211754.12942601216,230142.61560063434,216927.35457287426,217388.3343130001,230596.69745151722,1
210219.11617475198,214756.66325412312,218726.37261054706,223702.23806423438,229769.1029919502,234592.77088612574,238401.2537862432,241137.17851474625,242221.4933340179,238199.13586740426,231331.33031794982,223920.30386236607,217934.03735719252,213312.86400886992,211387.68267105942,210620.64678401526,228805.774652745,215501.65101876928,216064.29589255073,229354.2278494769,1
209893.43475666546,214478.2617050467,218496.90603817606,223494.1350256925,229561.99596509564,234381.53884965373,238238.8040603196,241009.4587642533,242108.75510199514,237987.27997706237,230898.30106016507,223343.1308320064,217338.37959686044,212778.78052077172,210944.7525105601,210243.56744414163,228937.3990484709,215307.32515442706,215924.3959203785,229541.462708994,1
210095.53110596002,214649.21658212433,218633.97518200323,223604.24302899418,229647.68338307802,234446.7478778611,238278.33097986685,241035.57691877594,242122.91366726646,238005.48826734058,230941.04627892165,223417.1068960773,217444.58751358488,212920.68657062302,211111.59055951133,210429.19096327497,229089.61637877033,215439.02416201986,216042.32219375772,229685.3869582449,1
