x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,y
216426.46522637678,220283.20939501355,223529.58494559515,227423.13813631653,231964.69342878778,235533.73278468824,238387.30606433246,240478.54470013164,241194.908096487,237807.89570995962,231940.5872606488,225779.43065075524,221111.32666640286,217816.53504426405,216714.24870235077,216428.8827027718,229675.11580771924,218907.1922042789,220412.7405224945,231189.33013671494,0
217562.2934227448,221720.1660624575,225177.3494015197,229191.71678858064,233655.21649181173,237001.2288205725,239618.35381602723,241554.96298216764,242188.49000821228,238826.08692190034,232874.80073630463,226625.84435893505,221928.8045993011,218611.00325199345,217577.8935168431,217417.6397822123,230824.89142048243,219828.24089306872,221590.1908567446,232615.03383618096,0
217593.417261984,221502.06849945066,224768.082483628,228690.91546172625,233223.21491954767,236706.20382313244,239447.12550033032,241467.19789549566,242161.0570493371,238816.65716728053,233108.00553780101,227046.97303352717,222313.72721999063,218931.57269973608,217804.12233207613,217552.4987433164,231638.6315918919,219998.08368684625,221597.05311008793,233234.36720507115,0
218085.680897957,222067.27250592806,225379.46946182783,229349.04596045235,233903.30566581243,237381.15190600874,240078.9519982567,242067.5335575968,242735.36120109184,239357.0571230299,233588.14690928042,227462.43764217055,222690.9150694745,219304.76959673228,218208.52320555417,217996.8488359556,231902.90111563882,220250.1996243811,221986.91001417892,233644.99775606618,0
218111.6564334573,222089.83513250045,225434.30058959048,229438.65455690117,234043.78922308842,237591.0299984696,240371.3329590751,242400.11896434054,243102.50609021724,239751.29894333592,234010.321054825,227862.40548420447,223014.6812340053,219519.56386410742,218339.00804992366,218068.6815145663,232223.12080322637,220453.42755313337,222137.48838254332,233895.2544205952,0
218248.60823507205,222259.347207709,225613.74930972987,229597.33979820384,234152.45737123236,237653.27127312476,240417.92727018674,242441.80260993884,243151.37382926722,239821.96009474955,234073.6453795671,227924.3777341975,223107.0308293752,219637.48224221112,218462.61665400842,218200.3459900308,232176.96741824056,220573.7029563579,222243.24609254964,233846.31787846997,0
218272.470641665,222274.45349344067,225615.39194089163,229582.85112267517,234102.94652069296,237560.61898897582,240284.4680873635,242285.34606566932,242985.98135143126,239680.66954062905,233972.55897577907,227881.2259232268,223119.95728058956,219671.93778280602,218494.86279194252,218231.3934260094,231829.41471126737,220509.27138850794,222188.33461788634,233507.23529215856,0
218143.09368152963,222095.34315924984,225420.75641791825,229393.76196764983,233945.38409160505,237406.4209954376,240097.06624357108,242056.9506834358,242741.24545252818,239478.76735502406,233890.0943378217,227892.63407598884,223144.17328077598,219671.45930576493,218452.8589808732,218139.5076016948,232269.08775109221,220563.43185639093,222189.19303335127,233887.92199646067,0
217940.3946237173,221845.78562505663,225131.38755200047,229087.8622927188,233677.54514822536,237238.8614776355,240048.40919580773,242085.03237816357,242801.13551975545,239478.80734351656,233810.8160288588,227736.0500617398,222927.83825264452,219437.43297168086,218228.3911830254,217927.10210328893,232035.84098619598,220309.4122994287,221870.8655448278,233573.037661472,0
217762.8536510383,221720.3841982318,225041.98418608465,229010.23226317638,233569.5446473096,237075.07192045797,239833.03195975482,241849.88114265417,242549.82016058688,239210.85626788854,233483.19341956626,227363.364590353,222545.60707339266,219091.9321284639,217949.52148522917,217702.3953256807,232000.13285532783,220213.846326347,221883.65957719472,233660.3251270759,0
217720.87425624422,221632.853971375,224906.6784586802,228827.338406834,233389.0478164662,236945.05046420035,239783.90240105442,241846.7202546779,242555.1503838719,239111.90157822656,233226.9516573504,226992.54065858378,222153.1918920938,218785.12829613683,217761.08505591197,217598.97514558092,231743.61348902294,219968.76858039727,221694.03500660145,233440.4731863433,0
217350.44902524693,221253.8673635063,224539.4491281658,228479.54670549522,233074.77126920162,236658.80371781433,239533.75486976825,241628.7389921621,242348.3375202338,238876.04797588402,232869.4917001606,226535.705352136,221656.4247770787,218300.2118311368,217328.91261167705,217204.91307923594,230948.8035533924,219187.87268220718,220975.73105105895,232718.5507791665,0
217203.85232796957,221149.00403914816,224456.85459297948,228400.48750881082,232978.25740508316,236561.40479576492,239463.8878781734,241578.95694681743,242297.71316935713,238812.35066080818,232767.0292148625,226375.47863608276,221445.0905121268,218071.7084227197,217122.2205810821,217029.37710852412,230830.2087496372,219134.48315716622,220956.7285595195,232620.5036058582,0
217388.72968504098,221351.30131791672,224677.0535253404,228623.94954932164,233191.91072265967,236766.37845067284,239651.96943670008,241758.48937027136,242465.52455363004,238945.58453665837,232831.56504290583,226379.756534655,221411.9240164933,218059.1488848922,217175.8552935188,217147.43968323446,230526.43964718556,218937.88887846985,220797.458743462,232344.43920031466,0
